Team1,Team2,ML1,ML2,Winner
SanAntonio,Cleveland,140,-160,1
Sacramento,Chicago,240,-280,2
Indiana,Utah,250,-300,2
LAClippers,Denver,175,-200,2
GoldenState,Orlando,-1400,800,1
LALakers,Dallas,210,-250,2
Phoenix,Toronto,650,-1000,1
Denver,Minnesota,145,-165,2
Washington,Charlotte,210,-250,1
Sacramento,Detroit,250,-300,1
SanAntonio,Brooklyn,-420,350,1
GoldenState,Miami,-800,550,2
LAClippers,Atlanta,260,-310,1
Houston,Milwaukee,-215,185,2
Cleveland,NewOrleans,-550,425,2
NewYork,Indiana,200,-240,1
OklahomaCity,Utah,175,-200,1
Boston,Washington,-105,-115,2
Chicago,Orlando,-155,135,1
SanAntonio,Toronto,115,-135,1
LAClippers,Philadelphia,-195,175,2
Minnesota,Phoenix,-125,105,1
Utah,Denver,105,-125,2
Sacramento,Cleveland,575,-850,1
Houston,Boston,-175,155,2
Miami,Brooklyn,-145,125,1
Philadelphia,Milwaukee,600,-900,1
Atlanta,Chicago,-120,100,1
Toronto,Memphis,180,-210,2
GoldenState,Charlotte,-600,450,1
OklahomaCity,NewOrleans,-125,105,1
NewYork,Dallas,125,-145,2
LALakers,Portland,310,-370,2
Indiana,Minnesota,135,-155,1
Dallas,OklahomaCity,375,-450,2
Phoenix,Denver,245,-290,2
LALakers,Utah,900,-1600,2
Houston,Philadelphia,-300,250,1
Sacramento,Indiana,165,-185,2
Milwaukee,Toronto,200,-240,2
Brooklyn,Cleveland,1600,-6000,2
Orlando,Boston,270,-330,2
Charlotte,NewYork,-115,-105,2
Washington,Atlanta,135,-155,1
Miami,Chicago,260,-310,1
SanAntonio,NewOrleans,-320,265,2
Memphis,Portland,105,-125,2
Sacramento,Charlotte,235,-295,1
Detroit,Miami,-150,130,2
Boston,Milwaukee,120,-140,1
LAClippers,GoldenState,750,-1150,2
Brooklyn,Minnesota,500,-650,2
Denver,Phoenix,140,-160,1
Memphis,Utah,295,-360,1
NewYork,Atlanta,210,-250,2
OklahomaCity,Cleveland,290,-350,2
Washington,NewOrleans,-115,-105,1
Orlando,Toronto,500,-700,1
Houston,Indiana,-170,150,2
Dallas,SanAntonio,650,-1000,1
Philadelphia,Chicago,250,-300,2
GoldenState,Portland,-250,210,1
Brooklyn,Miami,310,-370,2
Orlando,Minnesota,320,-380,2
Detroit,Boston,195,-230,2
Cleveland,Dallas,-185,165,2
Memphis,Phoenix,-170,150,1
Sacramento,Philadelphia,-150,130,2
NewYork,Washington,320,-380,2
NewOrleans,Toronto,270,-330,2
Sacramento,Houston,700,-1100,2
OklahomaCity,SanAntonio,425,-550,2
Charlotte,Portland,160,-180,2
Denver,LALakers,-110,-110,2
Minnesota,Cleveland,230,-270,2
Indiana,Orlando,-150,130,1
Atlanta,Miami,110,-130,2
NewYork,Brooklyn,-150,130,1
NewOrleans,Detroit,265,-320,2
Toronto,Boston,210,-250,2
Philadelphia,Dallas,280,-340,2
Milwaukee,Utah,280,-340,2
Memphis,Denver,-170,150,1
LAClippers,Phoenix,-150,130,1
Chicago,OklahomaCity,120,-140,1
Charlotte,GoldenState,1100,-2500,2
LALakers,Washington,475,-650,2
Atlanta,Houston,425,-550,1
Philadelphia,SanAntonio,1500,-5000,2
GoldenState,LAClippers,-320,265,1
Toronto,Orlando,-210,180,2
Minnesota,Detroit,160,-180,2
Indiana,Brooklyn,-260,220,1
Memphis,OklahomaCity,-120,100,2
Chicago,Houston,400,-500,2
LALakers,Boston,525,-750,2
Milwaukee,Denver,135,-155,2
Dallas,Portland,210,-250,1
Phoenix,Sacramento,155,-175,1
Orlando,Atlanta,260,-310,2
Detroit,Indiana,130,-150,2
NewOrleans,Washington,250,-300,2
Philadelphia,Miami,375,-450,2
Cleveland,NewYork,-180,160,1
Memphis,Minnesota,165,-185,1
Denver,SanAntonio,750,-1200,2
Milwaukee,Phoenix,-125,105,1
Charlotte,Utah,310,-370,2
GoldenState,Sacramento,-2000,1000,2
Toronto,Brooklyn,-280,240,1
LAClippers,Boston,210,-250,2
Portland,OklahomaCity,185,-215,2
Cleveland,Washington,-120,100,1
LALakers,NewYork,175,-200,1
OklahomaCity,Indiana,175,-200,2
LAClippers,Toronto,235,-275,2
Utah,Atlanta,-110,-110,1
Philadelphia,Detroit,350,-420,2
Miami,Minnesota,-105,-115,1
Phoenix,NewOrleans,195,-230,2
Dallas,Denver,125,-145,2
SanAntonio,Memphis,-105,-115,2
Chicago,Sacramento,165,-185,1
Brooklyn,Charlotte,450,-600,2
Orlando,Houston,600,-900,2
Portland,Dallas,-145,125,1
Cleveland,Indiana,-165,145,1
SanAntonio,Philadelphia,-1000,650,1
Denver,Atlanta,150,-170,2
LALakers,Detroit,240,-280,2
Washington,Brooklyn,-550,425,1
Miami,Milwaukee,155,-175,1
Phoenix,Memphis,280,-340,2
Utah,NewOrleans,-165,145,1
Toronto,Minnesota,-155,135,2
LAClippers,NewYork,-120,100,1
Chicago,GoldenState,1800,-8000,2
Boston,Sacramento,-420,350,2
Philadelphia,Orlando,230,-270,1
Houston,Charlotte,-140,120,1
Cleveland,OklahomaCity,-105,-115,2
Utah,Dallas,-140,120,2
Boston,Portland,130,-150,1
Miami,Brooklyn,-230,195,1
SanAntonio,Detroit,-200,175,1
Denver,NewYork,110,-130,1
LALakers,Milwaukee,190,-220,1
NewOrleans,Minnesota,175,-200,1
Indiana,Washington,200,-240,2
GoldenState,Memphis,-340,280,1
Atlanta,Sacramento,-125,105,2
Chicago,Phoenix,-165,145,2
LAClippers,Charlotte,120,-140,1
Milwaukee,Indiana,210,-250,1
Miami,Philadelphia,-135,115,2
Denver,Cleveland,625,-950,2
GoldenState,OklahomaCity,-360,300,1
Phoenix,Houston,1300,-3500,2
Orlando,Dallas,220,-260,2
Boston,Utah,225,-265,1
SanAntonio,NewYork,-500,400,2
Chicago,Minnesota,250,-300,2
Detroit,Toronto,240,-280,1
NewOrleans,Sacramento,155,-175,2
Philadelphia,Charlotte,290,-350,1
OklahomaCity,Washington,220,-260,2
Orlando,Miami,290,-350,1
Memphis,Brooklyn,-400,330,1
SanAntonio,Indiana,-210,180,1
Detroit,Milwaukee,125,-145,2
Boston,Dallas,-130,110,1
NewOrleans,Phoenix,145,-165,1
GoldenState,Denver,-1000,650,2
LAClippers,Utah,320,-380,1
Atlanta,Portland,115,-135,1
Toronto,Chicago,-180,160,2
Cleveland,Minnesota,-190,170,1
Sacramento,LALakers,125,-145,1
Indiana,Cleveland,220,-260,2
SanAntonio,Orlando,-650,475,1
Dallas,Detroit,175,-200,2
Milwaukee,Brooklyn,-210,180,1
Philadelphia,Boston,450,-600,2
Charlotte,Toronto,210,-250,2
Miami,Houston,450,-600,1
NewOrleans,Memphis,300,-360,1
Minnesota,Denver,210,-250,1
LALakers,Phoenix,160,-180,2
Portland,Utah,375,-450,2
NewYork,OklahomaCity,250,-300,2
Atlanta,LAClippers,140,-160,2
Sacramento,GoldenState,2000,-9100,2
Washington,Indiana,-145,125,1
Boston,Chicago,-120,100,2
Portland,Orlando,-140,120,1
Charlotte,Detroit,165,-185,2
Houston,NewOrleans,-160,140,1
NewYork,Cleveland,475,-650,2
Denver,Sacramento,-270,230,2
LAClippers,GoldenState,800,-1400,2
Memphis,Indiana,-110,-110,2
Washington,Philadelphia,-480,390,2
Boston,Toronto,105,-125,2
Miami,Atlanta,125,-145,1
Utah,Milwaukee,-160,140,1
LALakers,OklahomaCity,475,-650,2
Phoenix,Chicago,220,-260,2
Dallas,Minnesota,145,-165,2
Brooklyn,Denver,450,-600,2
SanAntonio,LAClippers,-145,125,1
Charlotte,Sacramento,-165,145,1
Atlanta,Orlando,-170,150,2
Philadelphia,NewYork,230,-270,2
Indiana,Miami,170,-190,2
NewOrleans,Dallas,-130,110,2
Chicago,Cleveland,220,-260,1
Minnesota,Houston,775,-1300,2
Brooklyn,GoldenState,2950,-4400,2
SanAntonio,LALakers,-900,600,1
Phoenix,Milwaukee,210,-250,2
Utah,Washington,105,-125,1
Memphis,Denver,110,-130,1
Portland,Toronto,185,-215,2
Boston,Detroit,-135,115,1
NewOrleans,OklahomaCity,210,-250,2
Charlotte,LAClippers,550,-800,2
Toronto,NewYork,-160,140,1
Milwaukee,Cleveland,450,-600,2
GoldenState,Philadelphia,-2500,1100,1
Atlanta,Boston,170,-190,1
Indiana,Houston,450,-600,1
Miami,Dallas,-115,-105,2
Minnesota,Sacramento,-180,160,1
GoldenState,Washington,-310,260,2
Portland,Detroit,155,-175,2
Denver,Chicago,120,-140,1
Phoenix,Memphis,350,-420,2
Utah,OklahomaCity,-140,120,2
Charlotte,LALakers,-200,175,1
NewYork,Orlando,115,-135,1
Washington,Toronto,165,-185,1
Philadelphia,Miami,425,-550,2
Dallas,Atlanta,210,-250,2
Cleveland,Boston,110,-130,2
Denver,Milwaukee,165,-185,1
Detroit,NewOrleans,120,-140,2
Indiana,SanAntonio,450,-600,2
Minnesota,Utah,225,-265,1
Houston,LAClippers,120,-140,1
Brooklyn,Sacramento,120,-140,1
GoldenState,Chicago,-335,275,2
Charlotte,Phoenix,-160,140,2
OklahomaCity,Portland,-115,-105,2
Toronto,Washington,180,-210,1
NewYork,Philadelphia,-135,115,2
Miami,Orlando,-210,180,2
Cleveland,Atlanta,-155,135,1
LAClippers,Milwaukee,-215,185,2
Memphis,Dallas,-145,125,2
Brooklyn,Utah,800,-1400,2
OklahomaCity,Phoenix,-200,175,2
SanAntonio,NewOrleans,-240,200,1
Boston,LALakers,-310,260,1
Detroit,Philadelphia,-240,200,1
Cleveland,Miami,320,-380,2
Toronto,Milwaukee,-105,-115,2
LAClippers,Chicago,-155,135,1
Minnesota,SanAntonio,280,-340,2
Memphis,Houston,340,-410,2
Charlotte,Denver,190,-220,1
Brooklyn,Portland,525,-750,2
Indiana,Atlanta,130,-150,1
GoldenState,NewYork,-800,550,1
Orlando,Washington,650,-1000,2
Boston,Phoenix,-180,160,2
Utah,Sacramento,-550,425,1
OklahomaCity,Dallas,100,-120,2
NewOrleans,LALakers,-260,220,1
NewYork,Orlando,125,-145,1
Miami,Cleveland,400,-500,1
Milwaukee,Philadelphia,-220,190,1
Chicago,Detroit,200,-240,2
GoldenState,Atlanta,-240,200,1
Indiana,Charlotte,155,-175,2
Brooklyn,Memphis,600,-900,1
Houston,SanAntonio,145,-165,2
NewOrleans,Utah,175,-200,2
Sacramento,Denver,500,-700,2
Boston,LAClippers,260,-310,2
Portland,OklahomaCity,235,-275,1
LALakers,Dallas,375,-450,2
Washington,Phoenix,-210,180,1
Chicago,Orlando,-110,-110,2
Charlotte,Miami,165,-185,2
Brooklyn,Atlanta,450,-600,2
NewYork,Milwaukee,225,-265,2
LAClippers,Minnesota,-155,135,2
Toronto,NewOrleans,130,-150,1
Detroit,Indiana,145,-165,2
Utah,Houston,330,-400,1
Sacramento,SanAntonio,550,-800,2
Washington,Denver,-125,105,1
Boston,GoldenState,280,-340,1
Cleveland,Detroit,-180,160,2
SanAntonio,OklahomaCity,-150,130,2
LAClippers,Memphis,125,-145,1
Philadelphia,Portland,425,-550,2
LALakers,Phoenix,230,-270,1
Orlando,Charlotte,390,-480,2
GoldenState,Minnesota,-210,180,2
Houston,Chicago,-250,210,1
Toronto,Atlanta,125,-145,2
Indiana,Milwaukee,110,-130,2
Boston,Denver,-140,120,2
Brooklyn,Dallas,475,-650,2
Washington,Sacramento,-380,320,1
Utah,OklahomaCity,170,-190,2
Philadelphia,LAClippers,1100,-2500,2
NewYork,Detroit,210,-250,2
NewOrleans,Charlotte,145,-165,1
Cleveland,Orlando,-400,330,1
Toronto,Miami,190,-220,2
Minnesota,Milwaukee,135,-155,2
GoldenState,SanAntonio,500,-700,2
Phoenix,Dallas,200,-240,1
Atlanta,Memphis,220,-260,1
Washington,Portland,165,-185,1
Denver,Sacramento,-200,175,1
Chicago,Boston,250,-300,2
Miami,Indiana,230,-270,2
NewYork,Brooklyn,100,-120,2
Cleveland,Houston,245,-290,2
Portland,Phoenix,-130,110,1
Philadelphia,LALakers,165,-185,1
Chicago,Charlotte,270,-330,1
Dallas,Toronto,170,-190,2
Atlanta,SanAntonio,260,-310,2
Milwaukee,Memphis,150,-170,2
Washington,Minnesota,110,-130,2
LAClippers,Utah,115,-135,2
LALakers,Denver,775,-1300,2
Orlando,Sacramento,-120,100,2
Detroit,Cleveland,280,-340,2
Indiana,NewYork,-155,135,2
OklahomaCity,Brooklyn,-270,230,1
Portland,NewOrleans,145,-165,2
Philadelphia,GoldenState,1600,-6000,2
Charlotte,Indiana,120,-140,2
Dallas,Washington,270,-330,1
Minnesota,Boston,200,-240,2
NewOrleans,Miami,210,-250,2
Utah,Detroit,-150,130,1
Memphis,Chicago,-135,115,1
Portland,SanAntonio,600,-900,1
LALakers,Houston,1900,-9000,2
Sacramento,Phoenix,190,-220,1
Milwaukee,LAClippers,280,-340,1
Utah,Cleveland,320,-380,2
OklahomaCity,Toronto,110,-130,1
Memphis,Atlanta,150,-170,1
Brooklyn,NewYork,180,-210,1
LAClippers,Denver,200,-240,2
Orlando,GoldenState,1000,-2000,2
Dallas,Philadelphia,-220,190,2
Chicago,Washington,270,-330,2
Toronto,Detroit,140,-160,1
Boston,Brooklyn,-420,350,1
Minnesota,Miami,160,-180,2
Houston,NewOrleans,-265,225,2
Orlando,Phoenix,110,-130,1
Milwaukee,LALakers,-360,300,1
Sacramento,OklahomaCity,800,-1400,2
Portland,Atlanta,110,-130,1
Washington,Charlotte,155,-175,2
Cleveland,LAClippers,800,-1400,2
Utah,Chicago,-260,220,2
SanAntonio,Memphis,-165,145,2
Houston,Denver,-145,125,1
Milwaukee,GoldenState,525,-750,2
Dallas,Brooklyn,-200,175,1
Boston,Philadelphia,-210,180,2
Phoenix,Detroit,700,-1100,2
Portland,Miami,210,-250,1
Indiana,Toronto,125,-145,2
Minnesota,NewOrleans,145,-165,2
Sacramento,SanAntonio,1000,-2000,2
Cleveland,LALakers,-1100,700,1
Philadelphia,Orlando,210,-250,2
Atlanta,Charlotte,180,-210,2
Utah,Indiana,-140,120,2
Washington,Boston,155,-175,2
Denver,Houston,300,-360,2
GoldenState,OklahomaCity,-130,110,1
NewYork,LAClippers,500,-700,2
Chicago,Toronto,270,-330,2
Detroit,Brooklyn,-210,180,2
Phoenix,Miami,650,-1000,2
Memphis,NewOrleans,120,-140,2
GoldenState,Dallas,-200,175,1
SanAntonio,Minnesota,-200,175,1
Milwaukee,Portland,155,-175,1
LAClippers,LALakers,-600,450,1
Charlotte,Orlando,-190,170,1
Indiana,Boston,225,-265,2
Detroit,Chicago,-130,110,2
Atlanta,Washington,270,-330,2
Philadelphia,OklahomaCity,600,-900,2
Cleveland,Denver,-135,115,2
Milwaukee,Sacramento,-230,195,1
NewYork,Utah,575,-850,2
Toronto,Miami,160,-180,1
Phoenix,Brooklyn,190,-220,2
LAClippers,Dallas,-215,185,2
Memphis,SanAntonio,320,-380,2
NewYork,Portland,800,-1400,2
Brooklyn,Washington,500,-700,2
Denver,Indiana,105,-125,1
Cleveland,Charlotte,-160,140,1
Detroit,Orlando,-130,110,2
Phoenix,Boston,1500,-5000,2
Atlanta,Milwaukee,220,-260,2
NewOrleans,Houston,300,-360,2
Philadelphia,Chicago,230,-270,1
Minnesota,LALakers,-270,230,2
Sacramento,GoldenState,2000,-9900,2
Utah,LAClippers,175,-200,2
Washington,Cleveland,210,-250,1
NewYork,SanAntonio,1100,-2500,2
Toronto,Dallas,-115,-105,1
Minnesota,Portland,210,-250,2
Brooklyn,Atlanta,240,-280,1
Phoenix,Charlotte,850,-1500,2
Sacramento,LAClippers,900,-1600,1
OklahomaCity,Houston,190,-220,2
Chicago,Milwaukee,220,-260,1
Miami,Boston,210,-250,2
Philadelphia,Indiana,375,-450,2
Memphis,GoldenState,575,-850,2
NewOrleans,Denver,275,-335,1
Portland,LALakers,-300,250,1
Orlando,Toronto,290,-350,2
Detroit,NewYork,-110,-110,2
Cleveland,SanAntonio,190,-220,2
OklahomaCity,Dallas,-120,100,1
NewOrleans,Utah,190,-220,2
Memphis,Sacramento,-280,240,2
Minnesota,Indiana,155,-175,1
Milwaukee,Charlotte,160,-180,1
Miami,Detroit,-150,130,1
Phoenix,Atlanta,450,-600,2
Philadelphia,Brooklyn,155,-175,1
GoldenState,Houston,100,-120,1
Denver,Portland,115,-135,2
Washington,LALakers,-500,400,1
Atlanta,Philadelphia,-140,120,1
OklahomaCity,Orlando,-220,190,1
Charlotte,Toronto,180,-210,1
Miami,NewYork,-135,115,1
Milwaukee,Boston,250,-300,1
Indiana,Memphis,155,-175,2
Dallas,NewOrleans,210,-250,2
GoldenState,SanAntonio,165,-185,1
Utah,Sacramento,-340,280,1
Washington,LAClippers,210,-250,2
Brooklyn,Detroit,220,-260,2
Cleveland,Chicago,-220,190,2
LALakers,Minnesota,550,-800,2
LAClippers,Phoenix,-550,425,1
Houston,Portland,-110,-110,2
Denver,Charlotte,115,-135,2
Indiana,Toronto,180,-215,2
Philadelphia,Cleveland,973,-1777,2
Orlando,Boston,477,-650,2
NewYork,Miami,523,-730,1
Detroit,Milwaukee,263,-325,2
Dallas,Memphis,140,-160,2
Sacramento,NewOrleans,639,-950,2
Washington,Utah,125,-145,2
SanAntonio,OklahomaCity,-155,135,1
Houston,GoldenState,351,-450,2
LALakers,LAClippers,1100,-2500,2
Atlanta,Chicago,195,-230,2
Orlando,Brooklyn,155,-175,2
Sacramento,Minnesota,700,-1100,1
Phoenix,Portland,575,-850,2
Boston,NewYork,-350,290,1
Charlotte,OklahomaCity,175,-200,1
Dallas,Milwaukee,210,-250,1
Utah,SanAntonio,180,-210,2
Memphis,LALakers,-300,250,2
Denver,Miami,140,-160,1
Indiana,Cleveland,300,-360,2
Atlanta,Brooklyn,-150,130,2
Chicago,NewOrleans,300,-360,1
Philadelphia,Toronto,575,-850,2
Washington,GoldenState,400,-500,2
Houston,Phoenix,-310,260,1
Portland,Minnesota,105,-125,2
Brooklyn,Philadelphia,-135,115,1
Orlando,Cleveland,550,-800,2
Toronto,Indiana,120,-140,2
Charlotte,Washington,125,-145,2
Chicago,NewYork,-200,175,2
Milwaukee,OklahomaCity,210,-250,2
Denver,NewOrleans,135,-155,1
Memphis,SanAntonio,375,-450,2
Dallas,Sacramento,-150,130,2
Minnesota,GoldenState,1000,-2000,2
Portland,Utah,200,-240,2
Miami,Charlotte,130,-150,1
Toronto,Detroit,-155,135,1
Cleveland,Boston,155,-175,1
Denver,Houston,290,-350,2
OklahomaCity,Memphis,-140,120,1
LALakers,SanAntonio,900,-1600,1
GoldenState,Phoenix,-450,375,1
Dallas,LAClippers,550,-800,2
Brooklyn,Orlando,100,-120,2
Chicago,Philadelphia,-240,200,1
Milwaukee,Indiana,165,-185,2
Washington,NewYork,-245,205,1
Boston,Atlanta,-120,100,2
Minnesota,Portland,180,-210,2
Miami,Toronto,165,-185,2
Atlanta,Cleveland,1300,-3500,1
Detroit,Houston,550,-800,1
NewYork,Memphis,800,-1400,2
SanAntonio,Dallas,180,-210,1
Minnesota,Utah,550,-800,2
NewOrleans,Denver,250,-300,2
OklahomaCity,Phoenix,-500,400,2
Sacramento,LALakers,125,-145,2
Chicago,Brooklyn,-160,140,2
Boston,Charlotte,-110,-110,1
Indiana,Orlando,-185,165,1
Miami,Washington,145,-165,1
Milwaukee,Philadelphia,-300,250,1
LAClippers,SanAntonio,105,-125,1
Utah,Portland,125,-145,2
NewOrleans,GoldenState,1600,-6000,2
Toronto,NewYork,-500,400,1
Cleveland,Atlanta,-210,180,2
OklahomaCity,Denver,190,-220,1
Detroit,Memphis,190,-220,1
Houston,Sacramento,-500,400,1
Dallas,Phoenix,120,-140,2
Minnesota,LALakers,-230,195,2
Indiana,Philadelphia,-400,330,1
Cleveland,Miami,450,-600,2
Brooklyn,Boston,550,-800,2
Washington,Detroit,190,-220,1
Orlando,Chicago,330,-400,2
Charlotte,Milwaukee,225,-265,2
SanAntonio,Portland,-600,450,2
Utah,GoldenState,450,-600,1
Houston,LAClippers,350,-420,2
Charlotte,Atlanta,280,-340,2
OklahomaCity,Minnesota,270,-330,1
Denver,Dallas,110,-130,1
NewOrleans,LALakers,120,-140,2
Phoenix,Sacramento,180,-210,2
Minnesota,Houston,300,-360,2
Dallas,Memphis,330,-400,1
Denver,OklahomaCity,200,-240,1
Toronto,Cleveland,-165,145,1
Atlanta,Indiana,1100,-2500,2
Milwaukee,Boston,1000,-2000,2
Detroit,Orlando,100,-120,2
Philadelphia,NewYork,130,-150,2
Washington,Miami,475,-650,2
Brooklyn,Chicago,1200,-3000,2
SanAntonio,Utah,160,-180,2
NewOrleans,Portland,250,-300,1
LALakers,GoldenState,700,-1100,2
Sacramento,LAClippers,1500,-5000,2
Indiana,Cleveland,425,-550,2
Milwaukee,Toronto,280,-340,1
Memphis,SanAntonio,450,-600,2
Utah,LAClippers,220,-260,1
Atlanta,Washington,200,-240,2
Portland,GoldenState,1300,-3500,2
Chicago,Boston,250,-300,1
OklahomaCity,Houston,280,-340,2
Indiana,Cleveland,380,-460,2
Memphis,SanAntonio,525,-750,2
Milwaukee,Toronto,310,-370,2
Chicago,Boston,290,-350,1
Utah,LAClippers,400,-500,2
Atlanta,Washington,210,-250,2
OklahomaCity,Houston,280,-340,2
Portland,GoldenState,600,-900,2
Cleveland,Indiana,-120,100,1
Toronto,Milwaukee,110,-130,2
SanAntonio,Memphis,-170,148,2
Boston,Chicago,-135,115,1
Houston,OklahomaCity,125,-145,2
LAClippers,Utah,-120,100,1
Toronto,Milwaukee,115,-135,1
Washington,Atlanta,125,-145,2
SanAntonio,Memphis,-220,184,2
GoldenState,Portland,-205,172,1
Cleveland,Indiana,-175,155,1
Houston,OklahomaCity,-110,-110,1
Boston,Chicago,-125,105,1
LAClippers,Utah,185,-215,2
Milwaukee,Toronto,200,-240,2
Washington,Atlanta,120,-140,2
GoldenState,Portland,-420,350,1
Memphis,SanAntonio,562,-800,2
OklahomaCity,Houston,303,-380,2
Utah,LAClippers,135,-155,1
Atlanta,Washington,230,-280,2
Chicago,Boston,299,-375,2
Toronto,Milwaukee,105,-125,1
SanAntonio,Memphis,-215,180,1
LAClippers,Utah,211,-255,1
Boston,Chicago,-155,135,1
Washington,Atlanta,135,-155,1
Utah,LAClippers,144,-165,1
Washington,Boston,155,-175,2
Toronto,Cleveland,263,-325,2
Houston,SanAntonio,234,-285,1
Washington,Boston,180,-215,2
Utah,GoldenState,876,-1500,2
Toronto,Cleveland,283,-353,2
Houston,SanAntonio,211,-255,2
Boston,Washington,207,-250,2
Utah,GoldenState,980,-1800,2
Cleveland,Toronto,-155,135,1
SanAntonio,Houston,218,-265,1
Cleveland,Toronto,-285,234,1
Boston,Washington,-300,245,2
SanAntonio,Houston,170,-200,2
GoldenState,Utah,188,-225,1
GoldenState,Utah,-465,361,1
Houston,SanAntonio,188,-225,2
Washington,Boston,144,-165,2
SanAntonio,Houston,416,-550,1
Boston,Washington,180,-215,2
SanAntonio,GoldenState,462,-625,2
Washington,Boston,172,-205,2
SanAntonio,GoldenState,818,-1350,2
Cleveland,Boston,-185,160,1
Cleveland,Boston,-220,184,1
GoldenState,SanAntonio,-495,381,1
Boston,Cleveland,1453,-4000,1
GoldenState,SanAntonio,-750,534,1
Boston,Cleveland,1175,-2500,2
Cleveland,Boston,-575,431,1
Cleveland,GoldenState,285,-355,2
Cleveland,GoldenState,334,-425,2
GoldenState,Cleveland,-145,125,1
GoldenState,Cleveland,-200,170,2
Cleveland,GoldenState,317,-400,2
